year,season,crop,region,district,irrigation,land_area_ha,fertilizer_kg,rainfall_mm,farmer_experience_yrs,yield_t_ha,production_kg,price_rs_per_kg,total_revenue_rs
2019,Yala,Beetroot,Up country,Kandy,Rainfed,0.823,113.1,149.0,5,10.798,8922.8,73.13,652524.36
2024,Maha,Ash pumpkin,Low country,Kalutara,Irrigated,0.947,105.7,202.7,11,16.763,16048.5,55.85,896308.72
2019,Yala,Cabbage,Up country,Kandy,Rainfed,0.362,59.6,174.8,15,20.711,7618.6,73.62,560881.33
2024,Maha,Snake gourd,Low country,Ratnapura,Irrigated,0.221,25.7,100.5,17,17.359,3820.3,112.21,428675.86
2023,Maha,Snake gourd,Low country,Kalutara,Rainfed,0.611,97.0,202.3,13,10.342,6341.0,89.27,566061.07
2016,Yala,Cucumber,Low country,Gampaha,Rainfed,0.653,81.2,133.5,23,8.962,5767.7,27.9,160918.83
2020,Yala,Tomato,Up country,Kandy,Irrigated,0.316,57.5,129.1,8,22.2,7171.0,104.28,747791.88
2019,Maha,Luffa,Low country,Gampaha,Rainfed,0.174,30.9,124.4,13,8.744,1526.1,118.63,181041.24
2019,Maha,Luffa,Low country,Ratnapura,Rainfed,0.247,41.9,121.8,12,8.247,1967.7,115.71,227682.57
2022,Maha,Snake gourd,Low country,Gampaha,Irrigated,0.378,34.8,70.6,4,12.964,4647.7,97.57,453476.09
2022,Maha,Radish,Up country,Kandy,Irrigated,1.077,152.7,93.0,9,18.246,19105.4,40.63,776252.4
2017,Yala,Cabbage,Up country,Badulla,Irrigated,0.486,62.6,164.0,12,21.335,10389.9,65.6,681577.44
2021,Maha,Cabbage,Up country,Badulla,Irrigated,0.465,76.4,237.8,2,30.971,14764.9,65.18,962376.18
2024,Maha,Cucumber,Low country,Gampaha,Irrigated,0.145,15.8,168.8,18,15.438,2136.6,76.08,162552.53
2020,Yala,Knol-khol,Up country,Badulla,Rainfed,0.194,25.8,113.3,10,9.421,1779.1,101.7,180934.47
2024,Maha,Radish,Up country,Kandy,Irrigated,0.187,41.3,157.8,19,12.524,2338.0,92.02,215142.76
2018,Yala,Bitter gourd,Low country,Kurunegala,Irrigated,0.236,26.9,205.9,15,15.957,3860.7,122.93,474595.85
2018,Yala,Bitter gourd,Low country,Ratnapura,Rainfed,0.568,89.1,244.7,13,8.789,4801.6,116.88,561211.01
2020,Maha,Knol-khol,Up country,Kandy,Irrigated,0.479,101.3,161.0,2,14.36,6970.9,62.66,436796.59
2017,Maha,Luffa,Low country,Gampaha,Rainfed,0.355,40.6,188.6,8,10.639,3655.0,77.08,281727.4
2017,Maha,Ash plantain,Low country,Ratnapura,Irrigated,1.168,173.0,99.4,2,14.359,15745.3,40.36,635480.31
2023,Yala,Tomato,Up country,Nuwara Eliya,Rainfed,0.15,28.6,182.3,22,14.637,2179.1,165.57,360793.59
2024,Yala,Ash pumpkin,Low country,Kalutara,Irrigated,0.488,77.6,301.0,27,13.871,6782.9,73.14,496101.31
2023,Yala,Carrot,Up country,Kandy,Irrigated,0.261,32.3,21.2,10,26.098,6664.0,156.39,1042182.96
